"Date","Price","Open","High","Low","Change %"
"09/07/2023","10.152","10.152","10.152","10.152","-2.29%"
"09/06/2023","10.390","10.390","10.390","10.390","1.07%"
"09/05/2023","10.280","10.280","10.280","10.280","1.60%"
"09/04/2023","10.118","10.118","10.118","10.118","-2.43%"
"09/03/2023","10.370","10.370","10.370","10.370","0.00%"
"09/02/2023","10.370","10.370","10.370","10.370","3.14%"
"09/01/2023","10.054","10.054","10.054","10.054","0.55%"
"08/31/2023","9.999","9.999","9.999","9.999","0.80%"
"08/30/2023","9.920","9.920","9.920","9.920","0.01%"
"08/29/2023","9.919","9.919","9.919","9.919","-0.61%"
"08/28/2023","9.980","9.980","9.980","9.980","-3.76%"
"08/27/2023","10.370","10.370","10.370","10.370","0.00%"
"08/26/2023","10.370","10.370","10.370","10.370","2.79%"
"08/25/2023","10.089","10.089","10.089","10.089","-0.11%"
"08/24/2023","10.100","10.100","10.100","10.100","-0.79%"
"08/23/2023","10.180","10.180","10.180","10.180","-1.93%"
"08/22/2023","10.380","10.380","10.380","10.380","0.39%"
"08/21/2023","10.340","10.340","10.340","10.340","0.00%"
"08/20/2023","10.340","10.340","10.340","10.340","0.00%"
"08/19/2023","10.340","10.340","10.340","10.340","0.00%"
"08/18/2023","10.340","10.340","10.340","10.340","-0.77%"
"08/17/2023","10.420","10.420","10.420","10.420","1.46%"
"08/16/2023","10.270","10.270","10.270","10.270","1.54%"
"08/15/2023","10.114","10.114","10.114","10.114","0.44%"
"08/14/2023","10.070","10.070","10.070","10.070","0.15%"
"08/13/2023","10.055","10.055","10.055","10.055","0.00%"
"08/12/2023","10.055","10.055","10.055","10.055","0.00%"
"08/11/2023","10.055","10.055","10.055","10.055","0.50%"
"08/10/2023","10.005","10.005","10.005","10.005","-0.38%"
"08/09/2023","10.043","10.043","10.043","10.043","0.59%"
"08/08/2023","9.984","9.984","9.984","9.984","-0.16%"
"08/07/2023","10.000","10.000","10.000","10.000","0.00%"
"08/06/2023","10.000","10.000","10.000","10.000","0.00%"
