"Date","Price","Open","High","Low","Change %"
"06/19/2024","6.040","6.040","6.040","6.040","0.33%"
"06/18/2024","6.020","6.020","6.020","6.020","0.50%"
"06/17/2024","5.990","5.990","5.990","5.990","0.67%"
"06/14/2024","5.950","5.950","5.950","5.950","0.34%"
"06/13/2024","5.930","5.930","5.930","5.930","-0.17%"
"06/12/2024","5.940","5.940","5.940","5.940","-0.34%"
"06/11/2024","5.960","5.960","5.960","5.960","0.34%"
"06/10/2024","5.940","5.940","5.940","5.940","0.00%"
"06/07/2024","5.940","5.940","5.940","5.940","0.00%"
"06/06/2024","5.940","5.940","5.940","5.940","-0.50%"
"06/05/2024","5.970","5.970","5.970","5.970","-0.50%"
"06/04/2024","6.000","6.000","6.000","6.000","-0.50%"
"05/31/2024","6.030","6.030","6.030","6.030","0.00%"
"05/30/2024","6.030","6.030","6.030","6.030","0.17%"
"05/29/2024","6.020","6.020","6.020","6.020","0.84%"
"05/28/2024","5.970","5.970","5.970","5.970","0.51%"
"05/27/2024","5.940","5.940","5.940","5.940","0.00%"
"05/24/2024","5.940","5.940","5.940","5.940","0.00%"
"05/23/2024","5.940","5.940","5.940","5.940","0.34%"
"05/22/2024","5.920","5.920","5.920","5.920","0.17%"
"05/20/2024","5.910","5.910","5.910","5.910","-0.34%"
"05/17/2024","5.930","5.930","5.930","5.930","0.17%"
"05/16/2024","5.920","5.920","5.920","5.920","-0.67%"
"05/15/2024","5.960","5.960","5.960","5.960","-0.83%"
"05/14/2024","6.010","6.010","6.010","6.010","0.33%"
"05/13/2024","5.990","5.990","5.990","5.990","0.17%"
"05/10/2024","5.980","5.980","5.980","5.980","0.50%"
"05/09/2024","5.950","5.950","5.950","5.950","-0.17%"
"05/08/2024","5.960","5.960","5.960","5.960","0.17%"
"05/07/2024","5.950","5.950","5.950","5.950","-0.67%"
"05/06/2024","5.990","5.990","5.990","5.990","-1.48%"
"05/03/2024","6.080","6.080","6.080","6.080","0.00%"
"05/02/2024","6.080","6.080","6.080","6.080","-0.16%"
"04/30/2024","6.090","6.090","6.090","6.090","0.00%"
"04/29/2024","6.090","6.090","6.090","6.090","-0.49%"
"04/26/2024","6.120","6.120","6.120","6.120","-0.65%"
