"Date","Price","Open","High","Low","Change %"
"12/20/2024","10.154","10.154","10.154","10.154","0.00%"
"12/19/2024","10.154","10.025","10.252","10.025","1.29%"
"12/18/2024","10.025","10.093","10.117","9.994","-0.95%"
"12/17/2024","10.121","10.139","10.215","10.059","1.09%"
"12/16/2024","10.012","9.901","10.012","9.901","0.31%"
"12/13/2024","9.981","10.069","10.069","9.940","-0.19%"
"12/12/2024","10.000","9.741","10.002","9.741","2.04%"
"12/11/2024","9.800","9.657","9.810","9.657","0.52%"
"12/10/2024","9.749","9.650","9.770","9.650","0.82%"
"12/09/2024","9.670","9.500","9.670","9.500","0.89%"
"12/08/2024","9.585","9.585","9.585","9.585","0.00%"
"12/07/2024","9.585","9.585","9.585","9.585","0.00%"
"12/06/2024","9.585","9.610","9.610","9.523","-0.26%"
"12/05/2024","9.610","9.560","9.625","9.560","-0.01%"
"12/04/2024","9.611","9.680","9.680","9.571","0.01%"
"12/03/2024","9.610","9.560","9.644","9.547","-0.01%"
"12/02/2024","9.611","9.564","9.660","9.564","0.06%"
"11/29/2024","9.605","9.690","9.698","9.605","-0.37%"
"11/28/2024","9.641","9.652","9.685","9.641","0.53%"
"11/27/2024","9.590","9.608","9.647","9.560","-0.51%"
"11/26/2024","9.639","9.607","9.650","9.570","0.77%"
"11/25/2024","9.565","9.330","9.565","9.330","0.34%"
"11/22/2024","9.533","9.294","9.533","9.294","1.61%"
"11/21/2024","9.382","9.412","9.425","9.300","-1.35%"
"11/20/2024","9.510","9.561","9.580","9.484","-1.04%"
"11/19/2024","9.610","9.617","9.640","9.583","-0.31%"
"11/18/2024","9.640","9.648","9.672","9.600","0.10%"
"11/17/2024","9.630","9.630","9.630","9.630","0.00%"
"11/16/2024","9.630","9.630","9.630","9.630","0.00%"
"11/15/2024","9.630","9.580","9.666","9.580","0.52%"
"11/14/2024","9.580","9.591","9.600","9.510","-0.11%"
"11/13/2024","9.591","9.637","9.638","9.530","-0.48%"
"11/12/2024","9.637","9.401","9.637","9.350","1.02%"
"11/11/2024","9.540","9.540","9.540","9.540","0.00%"
"11/10/2024","9.540","9.540","9.540","9.540","0.00%"
"11/09/2024","9.540","9.540","9.540","9.540","0.00%"
"11/08/2024","9.540","9.443","9.540","9.400","1.03%"
"11/07/2024","9.443","9.930","9.930","9.443","-4.90%"
"11/06/2024","9.930","9.970","10.050","9.845","-0.40%"
"11/05/2024","9.970","9.980","9.980","9.950","0.40%"
"11/04/2024","9.930","9.930","9.930","9.930","0.00%"
"11/03/2024","9.930","9.930","9.930","9.930","0.00%"
"11/02/2024","9.930","9.930","9.930","9.930","0.00%"
"11/01/2024","9.930","9.870","9.992","9.751","0.61%"
"10/31/2024","9.870","9.807","9.907","9.807","-0.06%"
"10/30/2024","9.876","9.765","9.876","9.765","0.22%"
"10/29/2024","9.854","10.000","10.014","9.854","-1.46%"
"10/28/2024","10.000","9.920","10.080","9.920","0.91%"
"10/25/2024","9.910","9.779","9.925","9.778","1.09%"
"10/24/2024","9.803","9.769","9.803","9.735","-0.43%"
"10/23/2024","9.845","9.700","9.845","9.700","1.49%"
"10/22/2024","9.700","9.570","9.711","9.570","0.42%"
"10/21/2024","9.659","9.620","9.659","9.620","1.42%"
"10/18/2024","9.524","9.390","9.541","9.390","0.41%"
"10/17/2024","9.485","9.430","9.485","9.430","1.12%"
"10/16/2024","9.380","9.380","9.380","9.352","-0.16%"
"10/15/2024","9.395","9.295","9.395","9.295","0.60%"
"10/12/2024","9.339","9.339","9.339","9.339","0.00%"
"10/11/2024","9.339","9.331","9.353","9.330","0.24%"
"10/10/2024","9.317","9.283","9.347","9.283","0.00%"
"10/09/2024","9.317","9.308","9.317","9.261","0.51%"
"10/08/2024","9.270","9.230","9.270","9.190","0.43%"
"10/07/2024","9.230","9.283","9.306","9.230","-0.06%"
"10/06/2024","9.236","9.236","9.236","9.236","0.00%"
"10/05/2024","9.236","9.236","9.236","9.236","0.00%"
