Release Date,Report Month,Time,Actual%,Forecast%,Previous%
05/03/2015,Feb,20:00,1.15,0.7,0.64
05/02/2015,Jan,20:00,0.64,0.53,0.27
05/01/2015,Dec,20:00,0.27,0.23,0.13
05/12/2014,Nov,20:00,0.13,0.07,0.16
05/11/2014,Oct,20:00,0.16,0.05,0.14
04/10/2014,Sep,13:00,0.14,0.19,0.2
05/09/2014,Aug,20:00,0.2,0.12,0.15
01/08/2014,Jul,04:00,0.15,,0.09
01/07/2014,Jun,04:00,0.09,,0.48
01/06/2014,May,04:00,0.48,,0.46
01/05/2014,Apr,04:00,0.46,,0.39
01/04/2014,Mar,04:00,0.39,,0.63
01/03/2014,Feb,04:00,0.63,,0.49
01/02/2014,Jan,04:00,0.49,,0.26
01/01/2014,Dec,04:00,0.26,,-0.22
01/12/2013,Nov,04:00,-0.22,,-0.26
01/11/2013,Oct,04:00,-0.26,,0.29
01/10/2013,Sep,04:00,0.29,,0.08
01/09/2013,Aug,04:00,0.08,,0.04
01/08/2013,Jul,04:00,0.04,,0.23
01/07/2013,Jun,04:00,0.23,,0.28
01/06/2013,May,04:00,0.28,,0.25
01/05/2013,Apr,04:00,0.25,,0.21
01/04/2013,Mar,04:00,0.21,,0.44
01/03/2013,Feb,04:00,0.44,,0.3
01/02/2013,Jan,04:00,0.3,,0.09
01/01/2013,Dec,04:00,0.09,,-0.14
01/12/2012,Nov,04:00,-0.14,,0.16
01/11/2012,Oct,04:00,0.16,,0.29
01/10/2012,Sep,04:00,0.29,,0.04
01/09/2012,Aug,04:00,0.04,,-0.02
01/08/2012,Jul,04:00,-0.02,,0.08
01/07/2012,Jun,04:00,0.08,,0.3
01/06/2012,May,04:00,0.3,,0.14
01/05/2012,Apr,04:00,0.14,,0.12
01/04/2012,Mar,04:00,0.12,,0.61
01/03/2012,Feb,04:00,0.61,,0.73
01/02/2012,Jan,04:00,0.73,,0.42
01/01/2012,Dec,04:00,0.42,,0.14
01/12/2011,Nov,04:00,0.14,,0.19
01/11/2011,Oct,04:00,0.19,,0.31
01/10/2011,Sep,04:00,0.31,,-0.03
01/09/2011,Aug,04:00,-0.03,,0.14
01/08/2011,Jul,04:00,0.14,,0.32
01/07/2011,Jun,04:00,0.32,,0.28
01/06/2011,May,04:00,0.28,,0.12
01/05/2011,Apr,04:00,0.12,,0.27
01/04/2011,Mar,04:00,0.27,,0.6
01/03/2011,Feb,04:00,0.6,,0.91
