Date,Close,Open,High,Low,Change%
2024-05-20,5.91,5.91,5.91,5.91,-0.34%
2024-05-17,5.93,5.93,5.93,5.93,0.17%
2024-05-16,5.92,5.92,5.92,5.92,-0.67%
2024-05-15,5.96,5.96,5.96,5.96,-0.83%
2024-05-14,6.01,6.01,6.01,6.01,0.33%
2024-05-13,5.99,5.99,5.99,5.99,0.17%
2024-05-10,5.98,5.98,5.98,5.98,0.50%
2024-05-09,5.95,5.95,5.95,5.95,-0.17%
2024-05-08,5.96,5.96,5.96,5.96,0.17%
2024-05-07,5.95,5.95,5.95,5.95,-0.67%
2024-05-06,5.99,5.99,5.99,5.99,-1.48%
2024-05-03,6.08,6.08,6.08,6.08,0.00%
2024-05-02,6.08,6.08,6.08,6.08,-0.16%
2024-04-30,6.09,6.09,6.09,6.09,0.00%
2024-04-29,6.09,6.09,6.09,6.09,-0.49%
2024-04-26,6.12,6.12,6.12,6.12,-0.65%
2024-04-25,6.16,6.16,6.16,6.16,0.49%
2024-04-24,6.13,6.13,6.13,6.13,0.16%
2024-04-23,6.12,6.12,6.12,6.12,-0.97%
2024-04-22,6.18,6.18,6.18,6.18,-0.48%
2024-04-19,6.21,6.21,6.21,6.21,-0.96%
2024-04-18,6.27,6.27,6.27,6.27,0.48%
2024-04-17,6.24,6.24,6.24,6.24,1.79%
2024-04-15,6.13,6.13,6.13,6.13,1.16%
2024-04-12,6.06,6.06,6.06,6.06,-0.49%
2024-04-11,6.09,6.09,6.09,6.09,0.83%
2024-04-10,6.04,6.04,6.04,6.04,0.83%
2024-04-09,5.99,5.99,5.99,5.99,0.00%
2024-04-08,5.99,5.99,5.99,5.99,0.84%
2024-04-05,5.94,5.94,5.94,5.94,0.34%
2024-04-04,5.92,5.92,5.92,5.92,0.17%
2024-04-03,5.91,5.91,5.91,5.91,0.17%
2024-04-02,5.9,5.9,5.9,5.9,0.68%
2024-04-01,5.86,5.86,5.86,5.86,0.34%
