Date,Close,Open,High,Low,Volume,Change%
2024-12-20,"49,650.51","49,263.04","49,757.58","49,174.44",43.03M,0.80%
2024-12-19,"49,254.47","49,919.59","50,657.93","49,200.60",176.31M,-1.43%
2024-12-18,"49,968.44","50,414.44","50,636.90","49,896.07",208.79M,-1.05%
2024-12-17,"50,500.34","50,718.05","50,928.81","50,371.27",276.37M,-0.69%
2024-12-16,"50,849.43","51,626.66","51,639.95","50,784.56",240.71M,-1.49%
2024-12-13,"51,619.75","51,265.18","51,717.64","51,043.68",263.27M,0.64%
2024-12-11,"51,289.74","51,285.29","51,433.08","50,975.49",202.34M,-0.17%
2024-12-10,"51,377.28","52,207.76","52,207.76","51,343.14",184.83M,-1.56%
2024-12-09,"52,190.68","51,417.93","52,291.89","51,370.39",192.66M,1.64%
2024-12-06,"51,348.80","51,644.52","51,819.76","51,263.92",178.10M,-0.79%
2024-12-05,"51,756.84","51,143.51","51,912.21","51,087.58",209.96M,0.99%
2024-12-04,"51,249.80","50,828.47","51,370.12","50,745.56",208.06M,0.83%
2024-12-03,"50,828.06","50,565.98","51,050.98","50,400.10",226.63M,0.82%
2024-12-02,"50,414.17","49,954.98","50,610.82","49,954.98",216.61M,1.21%
2024-11-29,"49,812.64","49,748.65","50,406.66","49,458.79",159.87M,-0.26%
2024-11-28,"49,941.27","49,812.09","50,102.83","49,756.48",40.83M,0.31%
2024-11-27,"49,787.82","49,690.49","50,098.08","49,600.03",218.92M,0.13%
2024-11-26,"49,721.85","50,135.86","50,298.85","49,562.99",200.05M,-0.97%
2024-11-25,"50,207.18","50,366.75","50,931.28","50,136.56",773.79M,-0.44%
2024-11-22,"50,430.02","50,149.27","50,499.64","49,921.78",208.58M,0.51%
2024-11-21,"50,174.64","50,099.45","50,593.90","50,064.85",234.44M,0.01%
2024-11-20,"50,168.88","50,276.58","50,368.18","49,976.47",221.52M,-0.11%
2024-11-19,"50,222.40","50,493.48","50,759.37","50,165.78",194.47M,-0.49%
2024-11-15,"50,469.40","50,321.77","50,860.10","50,321.77",153.07M,-0.17%
2024-11-14,"50,553.31","50,790.59","50,905.00","50,380.00",198.74M,-0.38%
2024-11-13,"50,747.63","51,074.86","51,134.84","50,706.11",179.94M,-0.68%
2024-11-12,"51,096.64","51,492.63","51,514.40","50,984.01",170.23M,-0.69%
2024-11-11,"51,449.43","51,765.41","51,907.05","51,410.29",156.14M,-0.76%
2024-11-08,"51,845.17","51,937.38","52,028.21","51,370.36",163.29M,-0.89%
2024-11-07,"52,311.08","51,800.52","52,594.22","51,580.85",254.70M,1.12%
2024-11-06,"51,732.46","50,625.60","51,812.71","49,486.17",247.30M,1.77%
2024-11-05,"50,831.51","50,639.43","50,934.65","50,253.88",179.68M,-0.10%
2024-11-04,"50,882.54","50,595.33","51,193.34","50,446.34",140.02M,0.51%
2024-11-01,"50,622.39","50,688.27","50,886.77","50,542.70",151.38M,-0.08%
2024-10-31,"50,661.05","50,821.74","50,942.30","50,520.96",250.30M,-0.42%
2024-10-30,"50,877.24","51,172.13","51,227.75","50,803.54",207.69M,-0.56%
2024-10-29,"51,166.29","51,760.37","51,911.31","51,127.88",210.44M,-1.25%
2024-10-28,"51,816.30","51,744.79","51,890.22","51,457.53",206.40M,0.06%
2024-10-25,"51,784.33","51,822.28","52,221.66","51,743.29",201.31M,-0.02%
2024-10-24,"51,795.56","52,175.86","52,421.65","51,543.17",221.58M,-0.66%
2024-10-23,"52,142.13","52,183.12","52,506.68","51,878.57",206.24M,-0.43%
2024-10-22,"52,368.69","52,753.32","52,753.32","51,877.40",248.60M,-0.84%
2024-10-21,"52,814.82","53,054.25","53,141.54","52,538.99",144.29M,-0.40%
2024-10-18,"53,027.42","52,510.92","53,076.69","52,354.14",178.43M,1.07%
2024-10-17,"52,463.66","52,392.22","52,680.08","52,287.59",153.67M,-0.04%
2024-10-16,"52,483.62","52,281.28","52,601.45","52,212.02",249.95M,0.20%
2024-10-15,"52,377.78","52,010.75","52,410.31","51,922.15",251.83M,0.66%
2024-10-14,"52,032.99","52,375.54","52,377.01","51,864.78",199.15M,-0.69%
2024-10-11,"52,395.66","52,485.19","52,529.26","52,213.62",154.45M,0.01%
2024-10-10,"52,391.29","51,875.63","52,475.60","51,741.71",230.01M,1.01%
2024-10-09,"51,869.14","51,799.49","52,409.57","51,699.27",198.23M,0.20%
2024-10-08,"51,764.64","52,085.07","52,095.76","51,567.96",242.91M,-0.53%
2024-10-07,"52,039.87","52,587.77","53,067.02","51,943.00",178.65M,-1.08%
2024-10-04,"52,609.87","51,763.54","52,984.36","51,731.62",208.83M,1.81%
2024-10-03,"51,674.54","52,183.99","52,183.99","51,507.52",261.78M,-1.01%
2024-10-02,"52,199.66","52,324.65","52,771.20","51,654.61",312.65M,-0.53%
2024-09-30,"52,477.30","52,854.82","52,865.08","52,368.51",246.17M,-0.57%
2024-09-27,"52,778.17","53,540.23","53,846.37","52,722.22",234.65M,-1.52%
2024-09-26,"53,590.52","53,052.69","54,201.46","53,052.69",241.23M,0.75%
2024-09-25,"53,190.93","53,496.74","53,597.83","53,100.25",221.52M,-0.86%
2024-09-24,"53,653.95","52,529.94","53,711.58","52,529.94",279.23M,2.35%
2024-09-23,"52,422.24","52,231.93","52,547.38","51,895.92",202.24M,0.44%
2024-09-20,"52,190.48","52,913.12","52,913.12","52,082.45",899.08M,-1.37%
2024-09-19,"52,918.04","52,735.25","53,114.01","52,636.70",204.81M,0.64%
2024-09-18,"52,582.89","52,350.40","52,783.81","52,193.85",144.91M,0.59%
2024-09-17,"52,273.53","51,978.63","52,796.49","51,978.63",203.05M,0.49%
2024-09-13,"52,016.85","52,005.65","52,431.65","51,877.41",141.37M,0.03%
2024-09-12,"51,999.73","51,158.21","52,137.38","51,158.21",229.95M,1.57%
2024-09-11,"51,195.76","50,990.32","51,318.33","50,782.11",238.24M,0.44%
2024-09-10,"50,973.11","51,099.70","51,283.87","50,790.24",241.35M,-0.32%
2024-09-09,"51,136.05","51,044.56","51,578.67","51,020.33",153.37M,0.10%
2024-09-06,"51,083.44","51,727.46","51,924.52","50,912.97",147.26M,-1.12%
2024-09-05,"51,661.48","51,791.82","52,149.44","51,597.65",194.17M,-0.29%
2024-09-04,"51,811.37","51,571.67","52,232.51","51,466.16",178.95M,0.43%
2024-09-03,"51,589.42","52,421.70","52,462.74","51,507.48",200.06M,-1.72%
2024-09-02,"52,493.38","52,133.89","52,737.12","52,091.59",31.03M,0.98%
2024-08-30,"51,985.87","52,945.72","53,102.09","52,744.52",464.82M,-2.17%
2024-08-29,"53,138.96","52,511.05","53,302.31","52,476.85",216.58M,1.33%
2024-08-28,"52,439.87","52,500.07","52,972.61","52,388.48",239.11M,-0.07%
2024-08-27,"52,474.31","53,122.58","53,403.01","52,457.73",200.49M,-1.31%
2024-08-26,"53,171.31","53,436.98","53,733.69","53,107.86",211.43M,-0.60%
2024-08-23,"53,490.92","53,368.18","53,807.37","53,341.53",245.78M,0.33%
2024-08-22,"53,316.20","53,811.87","54,136.93","53,273.12",303.74M,-1.02%
2024-08-21,"53,864.73","53,979.31","54,144.86","53,620.96",221.70M,-0.23%
2024-08-20,"53,991.06","54,130.42","54,302.27","53,820.87",178.59M,-0.21%
2024-08-19,"54,104.68","54,026.93","54,293.12","54,026.93",132.43M,0.04%
2024-08-16,"54,083.78","54,262.27","54,343.28","54,005.98",163.83M,-0.33%
2024-08-15,"54,264.92","53,678.80","54,311.71","53,678.80",186.81M,1.02%
2024-08-14,"53,718.95","53,659.64","53,787.78","53,399.19",208.93M,0.08%
2024-08-13,"53,674.20","53,185.16","53,730.80","53,185.16",174.80M,1.20%
2024-08-12,"53,040.35","53,085.63","53,165.09","52,626.94",156.08M,-0.02%
2024-08-09,"53,051.54","52,872.71","53,118.01","52,771.59",145.60M,0.33%
2024-08-08,"52,876.55","52,748.47","53,116.73","52,615.14",182.70M,0.37%
2024-08-07,"52,680.90","52,419.12","52,935.55","52,415.47",221.60M,0.54%
2024-08-06,"52,399.63","51,890.43","52,494.20","51,834.23",209.48M,1.20%
2024-08-05,"51,776.48","52,047.16","52,124.55","51,259.73",167.69M,-0.89%
2024-08-02,"52,242.38","52,379.62","52,379.62","51,734.41",230.93M,-0.33%
2024-08-01,"52,417.48","53,138.53","53,138.53","52,302.71",315.07M,-1.27%
2024-07-31,"53,093.97","52,279.65","53,313.56","52,279.65",377.44M,1.47%
2024-07-30,"52,325.42","52,574.96","52,973.39","52,228.12",292.42M,-0.36%
2024-07-29,"52,515.78","52,837.30","53,235.57","52,438.45",302.62M,-0.58%
2024-07-26,"52,819.58","52,959.76","53,157.34","52,559.26",301.55M,-0.21%
2024-07-25,"52,931.87","53,085.11","53,300.48","52,692.76",336.61M,-0.44%
2024-07-24,"53,168.41","53,651.36","53,941.54","53,051.26",227.58M,-1.00%
2024-07-23,"53,707.74","53,726.81","54,063.01","53,539.34",267.72M,-0.55%
2024-07-22,"54,006.92","53,656.17","54,161.08","53,575.13",280.36M,0.61%
2024-07-19,"53,678.52","53,048.38","53,793.10","52,889.88",131.93M,1.20%
2024-07-18,"53,043.00","53,803.60","54,045.73","52,919.18",233.24M,-1.31%
2024-07-17,"53,744.78","54,346.14","54,448.48","53,507.42",237.67M,-1.15%
2024-07-16,"54,368.00","54,337.22","54,594.69","54,068.81",208.00M,0.10%
2024-07-15,"54,311.99","54,894.92","55,120.42","54,243.09",177.28M,-1.17%
2024-07-12,"54,953.11","54,398.61","55,078.15","54,205.11",206.53M,0.97%
2024-07-11,"54,422.59","54,328.38","54,629.55","54,281.10",176.98M,0.26%
2024-07-10,"54,279.88","53,409.82","54,342.27","53,349.35",248.59M,1.78%
2024-07-09,"53,331.81","52,886.07","53,405.57","52,838.63",204.90M,0.80%
2024-07-08,"52,907.69","52,227.48","53,020.03","52,214.51",217.41M,1.10%
2024-07-05,"52,333.16","52,703.12","52,770.47","52,216.90",167.39M,-0.61%
2024-07-04,"52,654.85","52,817.56","52,974.24","52,572.78",20.48M,-0.27%
2024-07-03,"52,796.26","52,057.26","53,054.17","52,036.02",139.48M,1.63%
2024-07-02,"51,947.89","52,842.66","53,126.97","51,802.50",264.36M,-1.77%
2024-07-01,"52,883.97","52,452.44","53,159.30","52,452.44",197.51M,0.85%
2024-06-28,"52,440.02","52,455.93","52,780.32","51,980.72",243.72M,0.25%
2024-06-27,"52,310.96","52,284.12","52,470.77","52,082.76",273.03M,-0.30%
2024-06-26,"52,468.01","52,630.45","52,779.66","51,993.92",298.61M,-0.26%
2024-06-25,"52,604.05","52,472.32","52,690.10","51,847.71",273.49M,0.17%
2024-06-24,"52,512.91","52,741.54","53,136.73","52,388.42",218.20M,-0.52%
2024-06-21,"52,788.50","53,370.23","53,405.11","52,698.68",1.11B,-1.02%
2024-06-20,"53,333.03","53,202.65","53,414.15","52,819.54",204.98M,0.02%
2024-06-19,"53,323.37","53,220.38","53,389.80","53,190.56",32.77M,0.16%
2024-06-18,"53,236.46","52,341.32","53,547.49","52,271.75",183.42M,1.60%
2024-06-17,"52,397.20","52,247.33","52,438.78","52,000.77",170.04M,0.33%
2024-06-14,"52,222.94","52,218.93","52,482.81","51,872.13",268.21M,-0.10%
2024-06-13,"52,275.65","52,978.19","53,072.21","52,209.61",212.34M,-1.32%
2024-06-12,"52,975.89","53,220.09","53,767.39","52,928.94",257.82M,-0.30%
2024-06-11,"53,134.06","53,184.54","53,567.24","52,624.87",241.23M,0.02%
2024-06-10,"53,122.58","52,989.20","53,652.32","52,989.20",209.60M,0.27%
2024-06-07,"52,977.32","54,477.62","54,788.32","52,887.25",281.30M,-2.75%
2024-06-06,"54,477.25","54,427.75","55,730.31","54,038.61",300.81M,0.12%
2024-06-05,"54,410.51","53,467.37","54,536.16","53,306.80",298.60M,1.73%
2024-06-04,"53,485.62","51,894.32","53,683.23","51,894.32",339.30M,3.24%
2024-06-03,"51,807.55","54,967.91","55,197.11","51,358.97",300.10M,-6.11%
2024-05-31,"55,179.24","55,253.50","55,588.20","54,839.26",755.40M,-0.31%
2024-05-30,"55,352.56","55,169.90","55,683.57","54,768.40",232.59M,0.25%
2024-05-29,"55,212.64","55,120.56","55,458.43","54,352.15",247.66M,0.05%
2024-05-28,"55,184.95","55,452.80","55,526.26","55,078.44",153.19M,-0.48%
2024-05-27,"55,452.88","55,428.24","55,551.24","55,120.48",30.73M,0.07%
2024-05-24,"55,413.12","55,860.95","55,908.65","55,368.21",148.85M,-0.90%
2024-05-23,"55,918.38","56,342.20","56,407.03","55,857.91",154.66M,-0.91%
2024-05-22,"56,432.03","56,653.09","56,656.63","56,148.63",156.40M,-0.58%
2024-05-21,"56,760.72","57,286.59","57,286.59","56,638.15",175.21M,-1.10%
2024-05-20,"57,393.28","57,604.25","57,725.82","57,270.53",137.31M,-0.33%
2024-05-17,"57,583.08","57,506.49","57,847.38","57,385.25",109.27M,0.21%
2024-05-16,"57,462.17","57,388.21","57,721.48","57,232.31",188.20M,0.01%
