Date,Close,Open,High,Low,Change%
2024-12-20,11.23,11.23,11.23,11.23,0.00%
2024-12-19,11.23,11.041,11.249,11.041,1.71%
2024-12-18,11.041,11.055,11.088,11.02,-0.31%
2024-12-17,11.075,11.075,11.075,11.075,2.05%
2024-12-16,10.852,10.852,10.852,10.852,0.47%
2024-12-13,10.801,10.801,10.801,10.801,-1.78%
2024-12-12,10.997,10.7,10.997,10.68,2.31%
2024-12-11,10.749,10.667,10.749,10.632,0.27%
2024-12-10,10.72,10.677,10.74,10.677,0.80%
2024-12-09,10.635,10.48,10.635,10.48,1.19%
2024-12-07,10.51,10.51,10.51,10.51,0.00%
2024-12-06,10.51,10.436,10.51,10.431,0.00%
2024-12-05,10.51,10.466,10.529,10.465,0.00%
2024-12-04,10.51,10.6,10.6,10.46,-0.10%
2024-12-03,10.52,10.484,10.545,10.484,-0.09%
2024-12-02,10.53,10.564,10.571,10.5,-0.34%
2024-11-29,10.566,10.57,10.59,10.566,-0.18%
2024-11-28,10.585,10.5,10.585,10.5,1.09%
2024-11-27,10.471,10.439,10.471,10.43,-0.03%
2024-11-26,10.474,10.403,10.486,10.403,0.52%
2024-11-25,10.42,10.21,10.42,10.21,0.77%
2024-11-22,10.34,10.18,10.34,10.18,2.00%
2024-11-21,10.137,10.2,10.2,10.137,-1.10%
2024-11-20,10.25,10.357,10.357,10.25,-1.16%
2024-11-19,10.37,10.36,10.38,10.35,-0.51%
2024-11-18,10.423,10.474,10.474,10.423,0.05%
2024-11-15,10.418,10.46,10.46,10.372,-0.10%
2024-11-14,10.428,10.45,10.45,10.37,0.27%
2024-11-13,10.4,10.39,10.479,10.375,-0.29%
2024-11-12,10.43,10.27,10.43,10.26,1.08%
2024-11-08,10.319,10.25,10.319,10.17,-0.97%
2024-11-07,10.42,10.63,10.63,10.42,-2.70%
2024-11-06,10.709,10.865,10.865,10.698,-0.52%
2024-11-05,10.765,10.72,10.765,10.7,0.80%
2024-11-01,10.68,10.58,10.68,10.58,0.52%
2024-10-31,10.625,10.613,10.625,10.613,0.62%
2024-10-30,10.56,10.473,10.583,10.473,-0.09%
2024-10-29,10.57,10.681,10.681,10.57,-1.04%
2024-10-28,10.681,10.649,10.681,10.649,1.05%
2024-10-27,10.57,10.57,10.57,10.57,0.00%
2024-10-26,10.57,10.57,10.57,10.57,0.00%
2024-10-25,10.57,10.465,10.57,10.465,1.00%
2024-10-24,10.465,10.55,10.55,10.402,-0.81%
2024-10-23,10.55,10.343,10.55,10.343,2.00%
2024-10-22,10.343,10.29,10.343,10.29,0.52%
2024-10-21,10.29,10.195,10.301,10.195,0.93%
2024-10-20,10.195,10.195,10.195,10.195,0.00%
2024-10-19,10.195,10.195,10.195,10.195,0.00%
2024-10-18,10.195,10.14,10.195,10.125,0.54%
2024-10-17,10.14,10.14,10.14,10.14,0.85%
2024-10-16,10.055,10.055,10.055,10.055,0.00%
2024-10-15,10.055,10.051,10.055,10.051,-0.10%
2024-10-11,10.065,10.065,10.065,10.065,0.00%
2024-10-10,10.065,10.065,10.065,10.065,1.16%
2024-10-09,9.95,9.95,9.95,9.95,0.00%
2024-10-08,9.95,9.986,9.986,9.89,-0.36%
2024-10-07,9.986,9.986,9.986,9.986,1.18%
2024-10-04,9.87,9.87,9.87,9.87,0.00%
2024-10-03,9.87,9.86,9.87,9.86,0.62%
2024-10-02,9.809,9.809,9.809,9.809,0.00%
2024-10-01,9.809,9.75,9.809,9.75,0.71%
2024-09-30,9.74,9.74,9.74,9.72,0.00%
2024-09-29,9.74,9.74,9.74,9.74,0.00%
2024-09-28,9.74,9.74,9.74,9.74,0.00%
2024-09-27,9.74,9.761,9.761,9.739,-0.22%
2024-09-26,9.761,9.865,9.865,9.761,0.89%
