Release Date,Time,Actual,Forecast,Previous
"Jun 30, 2005 (null)",13:00,3.25%, ,3.00%
"May 03, 2005 (null)",13:00,3.00%, ,2.75%
"Mar 22, 2005 (null)",13:00,2.75%, ,2.50%
"Feb 02, 2005 (null)",13:00,2.50%, ,2.25%
"Dec 14, 2004 (null)",13:00,2.25%, ,2.00%
"Nov 10, 2004 (null)",13:00,2.00%, ,1.75%
"Sep 21, 2004 (null)",13:00,1.75%, ,1.50%
"Aug 10, 2004 (null)",13:00,1.50%, ,1.25%
"Jun 30, 2004 (null)",13:00,1.25%, ,1.00%
"Jun 25, 2003 (null)",13:00,1.00%, ,1.25%
"Nov 06, 2002 (null)",13:00,1.25%, ,1.75%
"Dec 11, 2001 (null)",13:00,1.75%, ,2.00%
"Nov 06, 2001 (null)",13:00,2.00%, ,2.50%
"Oct 02, 2001 (null)",13:00,2.50%, ,3.00%
"Sep 17, 2001 (null)",13:00,3.00%, ,3.50%
"Aug 21, 2001 (null)",13:00,3.50%, ,3.75%
"Jun 27, 2001 (null)",13:00,3.75%, ,4.00%
"May 15, 2001 (null)",13:00,4.00%, ,4.50%
"Apr 18, 2001 (null)",13:00,4.50%, ,5.00%
"Mar 20, 2001 (null)",13:00,5.00%, ,5.50%
"Jan 31, 2001 (null)",13:00,5.50%, ,6.00%
"Jan 03, 2001 (null)",13:00,6.00%, ,6.50%
"May 16, 2000 (null)",13:00,6.50%, ,6.00%
"Mar 21, 2000 (null)",13:00,6.00%, ,5.75%
"Feb 02, 2000 (null)",13:00,5.75%, ,5.50%
"Nov 16, 1999 (null)",13:00,5.50%, ,5.25%
"Aug 24, 1999 (null)",13:00,5.25%, ,5.00%
"Jun 30, 1999 (null)",13:00,5.00%, ,4.75%
"Nov 17, 1998 (null)",13:00,4.75%, ,5.00%
"Oct 15, 1998 (null)",13:00,5.00%, ,5.25%
"Sep 29, 1998 (null)",13:00,5.25%, ,5.50%
"Mar 25, 1997 (null)",13:00,5.50%, ,5.25%
"Jan 31, 1996 (null)",13:00,5.25%, ,5.50%
"Dec 19, 1995 (null)",13:00,5.50%, ,5.75%
"Jul 06, 1995 (null)",13:00,5.75%, ,6.00%
"Feb 01, 1995 (null)",13:00,6.00%, ,5.50%
"Nov 15, 1994 (null)",13:00,5.50%, ,4.75%
"Aug 16, 1994 (null)",13:00,4.75%, ,4.25%
"May 17, 1994 (null)",13:00,4.25%, ,3.75%
"Apr 18, 1994 (null)",13:00,3.75%, ,3.50%
"Mar 22, 1994 (null)",13:00,3.50%, ,3.25%
"Feb 04, 1994 (null)",13:00,3.25%, ,3.00%
"Sep 04, 1992 (null)",13:00,3.00%, ,3.25%
"Jul 02, 1992 (null)",13:00,3.25%, ,3.75%
"Apr 09, 1992 (null)",13:00,3.75%, ,4.00%
"Dec 20, 1991 (null)",13:00,4.00%, ,4.50%
"Dec 06, 1991 (null)",13:00,4.50%, ,4.75%
"Nov 06, 1991 (null)",13:00,4.75%, ,5.00%
"Oct 31, 1991 (null)",13:00,5.00%, ,5.25%
"Sep 13, 1991 (null)",13:00,5.25%, ,5.50%
"Aug 06, 1991 (null)",13:00,5.50%, ,5.75%
"Apr 30, 1991 (null)",13:00,5.75%, ,6.00%
"Mar 08, 1991 (null)",13:00,6.00%, ,6.25%
"Feb 01, 1991 (null)",13:00,6.25%, ,6.75%
"Jan 09, 1991 (null)",13:00,6.75%, ,7.00%
"Dec 19, 1990 (null)",13:00,7.00%, ,7.25%
"Dec 07, 1990 (null)",13:00,7.25%, ,7.50%
"Nov 14, 1990 (null)",13:00,7.50%, ,7.75%
"Oct 29, 1990 (null)",13:00,7.75%, ,8.00%
"Jul 13, 1990 (null)",13:00,8.00%, ,8.25%
"Dec 20, 1989 (null)",13:00,8.25%, ,8.50%
"Nov 06, 1989 (null)",13:00,8.50%, ,8.75%
"Oct 19, 1989 (null)",13:00,8.75%, ,9.06%
"Jul 27, 1989 (null)",13:00,9.06%, ,9.31%
"Jul 07, 1989 (null)",13:00,9.31%, ,9.56%
"Jun 06, 1989 (null)",13:00,9.56%, ,9.81%
"May 17, 1989 (null)",13:00,9.81%, ,9.75%
"Feb 24, 1989 (null)",13:00,9.75%, ,9.31%
"Feb 14, 1989 (null)",13:00,9.31%, ,9.12%
"Feb 09, 1989 (null)",13:00,9.12%, ,9.00%
"Jan 05, 1989 (null)",13:00,9.00%, ,8.68%
"Dec 15, 1988 (null)",13:00,8.68%, ,8.37%
"Nov 22, 1988 (null)",13:00,8.37%, ,8.31%
"Nov 17, 1988 (null)",13:00,8.31%, ,8.12%
"Aug 09, 1988 (null)",13:00,8.12%, ,7.75%
"Aug 08, 1988 (null)",13:00,7.75%, ,7.68%
"Jul 19, 1988 (null)",13:00,7.68%, ,7.50%
"Jul 01, 1988 (null)",13:00,7.50%, ,7.43%
"Jun 22, 1988 (null)",13:00,7.43%, ,7.25%
"May 25, 1988 (null)",13:00,7.25%, ,7.00%
"May 09, 1988 (null)",13:00,7.00%, ,6.75%
"Mar 30, 1988 (null)",13:00,6.75%, ,6.50%
"Feb 11, 1988 (null)",13:00,6.50%, ,6.62%
"Jan 28, 1988 (null)",13:00,6.62%, ,6.81%
"Nov 04, 1987 (null)",13:00,6.81%, ,7.31%
"Sep 24, 1987 (null)",13:00,7.31%, ,7.25%
"Sep 04, 1987 (null)",13:00,7.25%, ,6.87%
"Sep 03, 1987 (null)",13:00,6.87%, ,6.75%
"Aug 27, 1987 (null)",13:00,6.75%, ,6.62%
"Jul 02, 1987 (null)",13:00,6.62%, ,6.75%
"May 22, 1987 (null)",13:00,6.75%, ,6.50%
"Apr 30, 1987 (null)",13:00,6.50%, ,6.00%
"Jan 05, 1987 (null)",13:00,6.00%, ,5.87%
"Aug 21, 1986 (null)",13:00,5.87%, ,6.37%
"Jul 11, 1986 (null)",13:00,6.37%, ,6.87%
"Jun 05, 1986 (null)",13:00,6.87%, ,6.81%
"May 22, 1986 (null)",13:00,6.81%, ,6.75%
"Apr 21, 1986 (null)",13:00,6.75%, ,7.31%
"Apr 02, 1986 (null)",13:00,7.31%, ,7.25%
"Mar 07, 1986 (null)",13:00,7.25%, ,7.75%
"Dec 18, 1985 (null)",13:00,7.75%, ,8.00%
"Sep 06, 1985 (null)",13:00,8.00%, ,7.81%
"Aug 21, 1985 (null)",13:00,7.81%, ,7.75%
"Jul 25, 1985 (null)",13:00,7.75%, ,7.68%
"Jul 11, 1985 (null)",13:00,7.68%, ,7.75%
"May 20, 1985 (null)",13:00,7.75%, ,8.25%
"Apr 25, 1985 (null)",13:00,8.25%, ,8.50%
"Mar 28, 1985 (null)",13:00,8.50%, ,8.37%
"Feb 14, 1985 (null)",13:00,8.37%, ,8.25%
"Jan 24, 1985 (null)",13:00,8.25%, ,8.12%
"Dec 24, 1984 (null)",13:00,8.12%, ,8.50%
"Dec 19, 1984 (null)",13:00,8.50%, ,8.75%
"Dec 06, 1984 (null)",13:00,8.75%, ,9.00%
"Nov 23, 1984 (null)",13:00,9.00%, ,9.50%
"Nov 08, 1984 (null)",13:00,9.50%, ,10.00%
"Oct 18, 1984 (null)",13:00,10.00%, ,10.50%
"Oct 11, 1984 (null)",13:00,10.50%, ,11.00%
"Sep 27, 1984 (null)",13:00,11.00%, ,11.25%
"Sep 20, 1984 (null)",13:00,11.25%, ,11.50%
"Aug 09, 1984 (null)",13:00,11.50%, ,11.25%
"Jul 19, 1984 (null)",13:00,11.25%, ,11.00%
"Jul 05, 1984 (null)",13:00,11.00%, ,10.50%
"Mar 29, 1984 (null)",13:00,10.50%, ,9.37%
"Sep 15, 1983 (null)",13:00,9.37%, ,9.50%
"Aug 17, 1983 (null)",13:00,9.50%, ,9.56%
"Aug 11, 1983 (null)",13:00,9.56%, ,9.43%
"Jul 20, 1983 (null)",13:00,9.43%, ,9.25%
"Jul 14, 1983 (null)",13:00,9.25%, ,9.00%
"Jun 24, 1983 (null)",13:00,9.00%, ,8.75%
"May 25, 1983 (null)",13:00,8.75%, ,8.62%
"Mar 31, 1983 (null)",13:00,8.62%, ,8.50%
"Dec 14, 1982 (null)",13:00,8.50%, ,9.00%
"Nov 19, 1982 (null)",13:00,9.00%, ,9.50%
"Oct 07, 1982 (null)",13:00,9.50%, ,10.00%
"Oct 01, 1982 (null)",13:00,10.00%, ,10.25%
"Sep 27, 1982 (null)",13:00,10.25%, , 
