Release Date,Time,Actual,Forecast,Previous
"Jan 29, 2016 (Dec)",16:30,6.00%,6.00%,5.75%
"Dec 18, 2015 (Nov)",16:30,5.75%,5.75%,5.50%
"Nov 27, 2015 (Oct)",16:30,5.50%,5.75%,5.25%
"Oct 30, 2015 (Sep)",16:30,5.25%,5.00%,4.75%
"Sep 25, 2015 (Aug)",16:00,4.75%,4.75%,4.50%
"Aug 21, 2015 (Jul)",13:30,4.50%,4.50%,4.50%
"Jul 31, 2015 (Jun)",13:30,4.50%,4.50%,4.50%
"Jun 24, 2015 (May)",13:00,4.50%,4.50%,4.50%
"May 22, 2015 (Apr)",13:00,4.50%,4.50%,4.50%
"Apr 24, 2015 (Mar)",13:00,4.50%,4.50%,4.50%
"Mar 20, 2015 (Feb)",13:00,4.50%,4.50%,4.50%
"Feb 20, 2015 (Jan)",13:00,4.50%,4.50%,4.50%
"Jan 30, 2015 (Dec)",13:00,4.50%,4.50%,4.50%
"Dec 19, 2014 (Nov)",13:00,4.50%,4.50%,4.50%
"Nov 28, 2014 (Oct)",12:00,4.50%,4.50%,4.50%
"Oct 31, 2014 (Sep)",12:00,4.50%,4.50%,4.50%
"Sep 26, 2014 (Sep)",16:30,4.50%,4.50%,4.50%
"Aug 29, 2014 (Jul)",11:00,4.50%,4.50%,4.25%
"Jul 31, 2014 (Jun)",11:00,4.25%,4.25%,4.00%
"Jun 20, 2014 (May)",16:30,4.00%,4.00%,3.75%
"May 30, 2014 (Apr)",10:00,3.75%,3.75%,3.50%
"Apr 25, 2014 (Mar)",16:30,3.50%,3.25%,3.25%
"Mar 21, 2014 (Feb)",13:00,3.25%,3.25%,3.25%
"Feb 28, 2014 (Jan)",13:00,3.25%,3.25%,3.25%
"Jan 31, 2014 (Dec)",14:00,3.25%,3.25%,3.25%
"Dec 20, 2013 (Nov)",14:00,3.25%,3.25%,3.25%
"Nov 29, 2013 (Oct)",14:00,3.25%,3.25%,3.25%
"Oct 25, 2013 (Sep)",14:00,3.25%,3.25%,3.25%
"Sep 27, 2013 (Aug)",14:00,3.25%,3.25%,3.25%
"Aug 30, 2013 (Jul)",14:00,3.25%,3.25%,3.25%
"Jul 26, 2013 (Jun)",14:00,3.25%,3.25%,3.25%
"Jun 28, 2013 (May)",14:00,3.25%,3.25%,3.25%
"May 31, 2013 (Apr)",14:00,3.25%,3.25%,3.25%
"Apr 26, 2013 (Mar)",14:00,3.25%,3.00%,3.25%
"Mar 22, 2013 (Feb)",14:00,3.25%,3.50%,3.75%
"Feb 22, 2013 (Jan)",14:00,3.75%,3.75%,4.00%
"Jan 28, 2013 (Jan)",14:00,4.00%,4.00%,4.25%
"Jan 02, 2013 (Nov)",14:00,4.25%,4.50%,4.50%
"Nov 26, 2012 (Oct)",14:00,4.50%,4.75%,4.75%
"Oct 26, 2012 (Sep)",14:00,4.75%,4.75%,4.75%
"Sep 28, 2012 (Aug)",14:00,4.75%,4.75%,4.75%
"Aug 24, 2012 (Jul)",14:00,4.75%,4.75%,5.00%
"Jul 27, 2012 (Jun)",14:00,5.00%,5.25%,5.25%
"Jun 29, 2012 (May)",14:00,5.25%,5.25%,5.25%
"May 28, 2012 (Apr)",14:00,5.25%,5.25%,5.25%
"Apr 30, 2012 (Mar)",14:00,5.25%,5.25%,5.25%
"Mar 23, 2012 (Feb)",14:00,5.25%,5.25%,5.25%
"Feb 24, 2012 (Jan)",14:00,5.25%,4.75%,5.00%
"Jan 30, 2012 (Dec)",14:00,5.00%,4.75%,4.75%
"Dec 16, 2011 (Nov)",14:00,4.75%,4.75%,4.75%
"Nov 25, 2011 (Oct)",14:00,4.75%,4.75%,4.50%
"Oct 28, 2011 (Sep)",14:00,4.50%,4.50%,4.50%
"Sep 30, 2011 (Aug)",14:00,4.50%,4.50%,4.50%
"Aug 19, 2011 (Jul)",14:00,4.50%,4.50%,4.50%
"Jul 29, 2011 (Jun)",14:00,4.50%,4.25%,4.25%
"Jun 17, 2011 (May)",15:30,4.25%,4.25%,4.00%
"May 30, 2011 (Apr)",14:00,4.00%,4.00%,3.75%
"Apr 29, 2011 (Mar)",14:00,3.75%,3.75%,3.50%
"Mar 18, 2011 (Feb)",14:00,3.50%,3.50%,3.25%
"Feb 25, 2011 (Jan)",14:00,3.25%,3.00%,3.00%
"Jan 31, 2011 (Dec)",14:00,3.00%,3.00%,3.00%
"Dec 17, 2010 (Nov)",16:00,3.00%,3.00%,3.00%
"Nov 01, 2010 (Oct)",04:00,3.00%, ,3.00%
"Oct 01, 2010 (Sep)",04:00,3.00%, ,3.00%
"Sep 01, 2010 (Aug)",04:00,3.00%, ,3.00%
"Aug 01, 2010 (Jul)",04:00,3.00%, ,3.00%
"Jul 01, 2010 (Jun)",04:00,3.00%, ,3.00%
"Jun 01, 2010 (May)",04:00,3.00%, ,3.50%
"May 01, 2010 (Apr)",04:00,3.50%, ,3.50%
"Apr 01, 2010 (Mar)",04:00,3.50%, ,3.50%
"Mar 01, 2010 (Feb)",04:00,3.50%, ,3.50%
"Feb 01, 2010 (Jan)",04:00,3.50%, ,3.50%
"Jan 01, 2010 (Dec)",04:00,3.50%, ,3.50%
"Dec 01, 2009 (Nov)",04:00,3.50%, ,4.00%
"Nov 01, 2009 (Oct)",04:00,4.00%, ,4.00%
"Oct 01, 2009 (Sep)",04:00,4.00%, ,4.50%
"Sep 01, 2009 (Aug)",04:00,4.50%, ,4.50%
"Aug 01, 2009 (Jul)",04:00,4.50%, ,4.50%
"Jul 01, 2009 (Jun)",04:00,4.50%, ,6.00%
"Jun 01, 2009 (May)",04:00,6.00%, ,7.00%
"May 01, 2009 (Apr)",04:00,7.00%, ,7.00%
"Apr 01, 2009 (Mar)",04:00,7.00%, ,9.00%
"Mar 01, 2009 (Feb)",04:00,9.00%, ,9.50%
"Feb 01, 2009 (Jan)",04:00,9.50%, ,9.50%
"Jan 01, 2009 (Dec)",04:00,9.50%, ,10.00%
"Dec 01, 2008 (Nov)",04:00,10.00%, ,10.00%
"Nov 01, 2008 (Oct)",04:00,10.00%, ,10.00%
"Oct 01, 2008 (Sep)",04:00,10.00%, ,10.00%
"Sep 01, 2008 (Aug)",04:00,10.00%, ,10.00%
"Aug 01, 2008 (Jul)",04:00,10.00%, ,9.75%
"Jul 01, 2008 (Jun)",04:00,9.75%, ,9.75%
"Jun 01, 2008 (May)",04:00,9.75%, ,9.75%
"May 01, 2008 (Apr)",04:00,9.75%, ,9.75%
"Apr 01, 2008 (Mar)",04:00,9.75%, ,9.75%
"Mar 01, 2008 (Feb)",04:00,9.75%, ,9.50%
"Feb 01, 2008 (Jan)",04:00,9.50%, ,9.50%
"Jan 01, 2008 (Dec)",04:00,9.50%, ,9.50%
"Dec 01, 2007 (Nov)",04:00,9.50%, ,9.25%
"Nov 01, 2007 (Oct)",04:00,9.25%, ,9.25%
"Oct 01, 2007 (Sep)",04:00,9.25%, ,9.25%
"Sep 01, 2007 (Aug)",04:00,9.25%, ,9.25%
"Aug 01, 2007 (Jul)",04:00,9.25%, ,9.00%
"Jul 01, 2007 (Jun)",04:00,9.00%, ,8.75%
"Jun 01, 2007 (May)",04:00,8.75%, ,8.25%
"May 01, 2007 (Apr)",04:00,8.25%, ,8.25%
"Apr 01, 2007 (Mar)",04:00,8.25%, ,8.00%
"Mar 01, 2007 (Feb)",04:00,8.00%, ,7.75%
"Feb 01, 2007 (Jan)",04:00,7.75%, ,7.50%
"Jan 01, 2007 (Dec)",04:00,7.50%, ,7.25%
"Dec 01, 2006 (Nov)",04:00,7.25%, ,7.25%
"Nov 01, 2006 (Oct)",04:00,7.25%, ,6.75%
"Oct 01, 2006 (Sep)",04:00,6.75%, ,6.75%
"Sep 01, 2006 (Aug)",04:00,6.75%, ,6.50%
"Aug 01, 2006 (Jul)",04:00,6.50%, ,6.50%
"Jul 01, 2006 (Jun)",04:00,6.50%, ,6.25%
"Jun 01, 2006 (May)",04:00,6.25%, ,6.00%
"May 01, 2006 (Apr)",04:00,6.00%, ,6.00%
"Apr 01, 2006 (Mar)",04:00,6.00%, ,6.00%
"Mar 01, 2006 (Feb)",04:00,6.00%, ,6.00%
